ID,Category,Requirement,Bundle reference,Current repository evidence,Verdict,Severity,Required remediation
A011,Authority & migration,Record an actual safety ref and rollback path before migration.,CODEX_MASTER_MIGRATION_PROMPT.md,"Migration documents discuss rollback, but no matching remote safety branch was found and the migration occurred on main.",NOT_PROVEN,HIGH,Create an immutable tag at the pre-hardening SHA and rehearse exact rollback in a disposable clone.
A012,Authority & migration,Make source-monitor findings create STALE/ADR/wedge-review requests rather than silent rewrites.,SOURCE_OF_TRUTH_MIGRATION_PLAN.md,"Freshness structures exist, but current-fact receipts are not integrated into controller execution.",PARTIAL,HIGH,Wire freshness receipts into context construction and create deterministic STALE work-item transitions.
A013,Authority & migration,Defer T002 from the product critical path while preserving legacy traceability.,README_FIRST.md:34-38; CODEX_MASTER_MIGRATION_PROMPT.md:1031-1060,V3 roadmap no longer begins with T001/T002 and legacy ledgers are archived; exact T002 disposition trace was not fully proven from live state.,PARTIAL,MEDIUM,Add a deterministic migration assertion that T002 is DEFERRED_NON_BLOCKING and cannot block any V3 milestone.
A014,Authority & migration,"Preserve all 124 legacy entries, statuses, packets, and specs.",CODEX_MASTER_MIGRATION_PROMPT.md:1031-1052,"Legacy migration files exist, but this audit did not re-hash every archived packet/spec against the baseline.",NOT_PROVEN,MEDIUM,Add a manifest of all 124 source entries and deterministic count/hash/mapping tests.
A015,Authority & migration,Migrate runtime state without silently discarding malformed checkpoints.,CODEX_MASTER_MIGRATION_PROMPT.md:860-866,Current CheckpointStore quarantines malformed active checkpoints instead of silently skipping them.,PROVEN,INFO,Keep quarantine blocking and add a startup summary of quarantined state.
A016,Authority & migration,Generate the active manifest without self-hash recursion.,SOURCE_OF_TRUTH_MIGRATION_PLAN.md:234-260,FINAL_MANIFEST_V3.json uses external file hashes and no self-hash.,PROVEN,INFO,Apply the same rule to V3.1-ZH.
A017,Authority & migration,Bind migration evidence to the exact candidate SHA and actual execution mode.,CODEX_MASTER_MIGRATION_PROMPT.md,"Migration evidence exists, but several receipts describe simulations while M0 is marked complete.",PARTIAL,HIGH,"Separate SIMULATED, CONTROLLED_VALIDATED, and LIVE_VALIDATED evidence; do not let simulation satisfy live migration criteria."
A018,Authority & migration,Keep original V3 documents as an immutable review artifact after adopting a new owner policy.,General source-history requirement,"The original V3 copy remains, but it is still presented as active despite the override.",PARTIAL,MEDIUM,Archive V3 as historical review generation and activate a new complete V3.1-ZH manifest.
B001,Zero-human semantics,No routine founder/operator intervention after bootstrap.,User amendment; V3 finite/autonomous architecture,The controller is currently stopped and the live unattended loop has not been proven.,NOT_PROVEN,CRITICAL,"Define ZERO_FOUNDER_INTERVENTION_AFTER_BOOTSTRAP and prove a live canary through task selection, model execution, recovery, release, and next-task scheduling."
B002,Zero-human semantics,"Do not fabricate customer conversations, evidence access, signatures, payment, or adoption.",00_EXECUTIVE_BUILD_DECISION_V3.md:294-342; bundle commercial gates,External-evidence verifier rejects synthetic/AI-writable receipts and M1 market items are WAITING_EXTERNAL.,PROVEN,INFO,Retain strict external receipt semantics.
B003,Zero-human semantics,Allow product/factory lanes to continue while market evidence waits.,Four-lane design,"Scheduler has lane WIP and external waits, but live lane progression is not proven.",PARTIAL,HIGH,Run a live test where market items wait while product/competitor/trust items continue.
B004,Zero-human semantics,Literal zero humans must not be confused with zero founder intervention.,"Bundle requires real conversations, incidents, pilots, payment, and operator independence",Five M1 market items are explicitly non-automatable external work.,EXTERNAL_WAIT,CRITICAL,Name the doctrine ZERO_FOUNDER_INTERVENTION; external people and organizations may provide attributable facts asynchronously.
B005,Zero-human semantics,"If human trust approval is removed, disclose that this is a plan amendment rather than full V3 conformance.",README_FIRST.md:44; 00_EXECUTIVE_BUILD_DECISION_V3.md:262-317,"ZERO_HUMAN_OPERATION_OVERRIDE explicitly reverses the rule, but active V3 documents remain unchanged.",CONTRADICTS_BUNDLE,CRITICAL,"Publish V3.1-ZH with explicit rationale, compensating controls, residual risk, and non-claim that it matches original V3."
B006,Zero-human semantics,Machine approval must be independent of the candidate-writing agent.,V3 independent authority/oracle requirement,MachinePolicyGateReceipt binds candidate/artifact/directive digests but is not signed by an external immutable machine authority and is not invoked by the controller.,DEFECT,CRITICAL,"Use a separate root-owned/off-repo verifier with signed scoped receipts, policy version, issuer, expiry, candidate SHA, oracle IDs, and raw evidence hashes."
B007,Zero-human semantics,Commercial maturity remains separate from engineering maturity.,00_EXECUTIVE_BUILD_DECISION_V3.md:239-260,Typed maturity and value states exist; current product README limits claims to preflight.,PROVEN,INFO,Wire maturity transitions to runtime gates rather than static roadmap text.
B008,Zero-human semantics,A technically valid native duplicate must fail product value.,README_FIRST.md:45-46; V3 native-substitute rule,"Enums exist, but no live native-substitute benchmark is integrated into controller promotion.",PARTIAL,CRITICAL,Implement and require NativeSubstituteBenchmark before NATIVE_ADVANTAGE_DEMONSTRATED or commercial promotion.
B009,Zero-human semantics,External validation cannot be completed by AI.,Bundle external truth rules,External tasks remain WAITING_EXTERNAL and automatable=false.,PROVEN,INFO,Continue lane isolation; never auto-convert waits to pass.
B010,Zero-human semantics,Market actions must be executable without founder orchestration where legally authorized.,Lane B market evidence,"No market-operations backend, email/contact workflow, or authorized outreach executor is connected; controller network is denied.",NOT_PROVEN,HIGH,"Add an explicitly authorized MarketOperationsBackend, consent/identity controls, and attributable inbound/outbound event receipts, or accept external_wait."
B011,Zero-human semantics,"Customer-local access and experiments require customer authorization, not fabricated automation.",Commercial pilot requirements,No customer environment or authorization receipt exists.,EXTERNAL_WAIT,INFO,Preserve as external evidence; do not block unrelated work.
B012,Zero-human semantics,"No automated loop may claim payment, repeat use, or PMF from controlled fixtures.",Commercial truth doctrine,Current README and schemas preserve nonclaims.,PROVEN,INFO,Add CI tests that reject maturity elevation from synthetic evidence.
C001,Product strategy,"Position the product as failure-derived change qualification, not generic GPU reliability.",README_FIRST.md:9-21,V3 docs and product README use the intended positioning.,PROVEN,INFO,Keep public messaging narrow.
C002,Product strategy,First serious offer is Incident-to-Change Qualification Pilot.,README_FIRST.md:17-20,Offer exists in V3 docs; no live paid pilot evidence exists.,PARTIAL,INFO,Keep as hypothesis and collect external receipts.
C003,Product strategy,Join incident closure and baseline-versus-candidate qualification in the first engagement.,Product strategy bundle,Current product stops at preflight eligibility and does not execute the full pilot.,DEFERRED_BY_SCOPE,INFO,Build only after preflight stability and real evidence access; do not falsely mark complete.
C004,Product strategy,Build only the first credible bounded vertical before broad federation/hosted platform.,README_FIRST.md:45,Separate preflight packages implement a bounded vertical; broad platform scope is not present.,PROVEN,INFO,Maintain scope gate.
C005,Product strategy,"Keep checkpoint/resume as engineering reference, not automatic second commercial wedge.",V3 strategy,No broad second commercial pack was released.,PROVEN,INFO,Require native advantage and external decision value before promotion.
C006,Product strategy,Use Flight Recorder/native evidence as an input and baseline.,V3 product lane,PyTorch ingest package and fixture importer exist.,PROVEN,INFO,Add real-version compatibility fixtures and current-source freshness.
C007,Product strategy,Identity lock must be deterministic and candidate-bound.,Product models/canonical identity,Canonical identity and tests exist; independent cross-implementation oracle needs stronger proof.,PARTIAL,HIGH,"Prove golden vectors with an independently implemented verifier, not the production serializer."
C008,Product strategy,Evidence completeness must explicitly preserve UNKNOWN and limitations.,Trust/product requirements,Product models expose UNKNOWN and evidence completeness states.,PROVEN,INFO,Keep negative tests and user-facing limitations.
C009,Product strategy,Native preflight should produce a structured JSON result.,Migration Phase J,CLI/product contract workflow exists and CI passes.,PROVEN,INFO,Add version compatibility and schema migration tests.
C010,Product strategy,No claim of real GPU execution without actual GPU run.,V3 nonclaim rule,GPU workflow has no run at the audited SHA; README does not claim GPU validation.,PROVEN,INFO,Keep maturity below GPU-validated until exact-SHA GPU receipts exist.
C011,Product strategy,No claim of complete Close–Qualify–Exchange product from preflight.,V3 scope distinction,README explicitly says current implementation ends at preflight.,PROVEN,INFO,Retain exact nonclaim in release metadata.
C012,Product strategy,Customer-local execution/security is retained in architecture.,README_FIRST.md:68-89,"Architecture documents retain local execution, but no real customer-local deployment is proven.",PARTIAL,MEDIUM,Build a controlled isolated runner and later obtain external customer-local evidence.
C013,Product strategy,Complete-substitute comparison starts early and repeats.,V3 competitor lane,"Competitor lane exists in roadmap, but controller cannot perform network research and benchmark is disconnected.",DEFECT,CRITICAL,Enable allowlisted current-source research and make native differential a recurring promotion gate.
C014,Product strategy,Commercially support only surfaces that change real decisions.,V3 maturity doctrine,"State model supports this, but no runtime commercial promotion engine exists.",PARTIAL,HIGH,Create signed external value receipt transition and block COMMERCIALLY_SUPPORTED without it.
C015,Product strategy,Do not let the historical 124-task ledger define V3 completion.,README_FIRST.md:21; migration prompt,V3 roadmap is milestone/work-item based and legacy tasks are demoted.,PROVEN,INFO,Keep legacy ledger read-only and out of scheduler selection.
D001,V3 model & roadmap,Typed V3 lanes exist.,FACTORY_LOOP_REDESIGN_SPEC.md,"PRODUCT, MARKET, COMPETITOR, TRUST, FACTORY lanes exist.",PROVEN,INFO,None.
D002,V3 model & roadmap,Typed work lifecycle includes external/human/technical/value dispositions.,V3 schemas,"Work item schema/enums exist, but WAITING_HUMAN was removed by override.",PARTIAL,HIGH,"For V3.1-ZH, replace WAITING_HUMAN with WAITING_MACHINE_AUTHORITY, not with implicit approval."
D003,V3 model & roadmap,Typed engineering and commercial maturity states exist.,00_EXECUTIVE_BUILD_DECISION_V3.md:239-260,Enums/schemas contain maturity states.,PROVEN,INFO,Wire them to gates and receipts.
D004,V3 model & roadmap,M0/M1 milestone definitions and exit gates are machine-readable.,12_GATE_BASED_ROADMAP...,milestones.yaml and work_items.yaml exist.,PROVEN,INFO,Add active controller evaluation and advancement.
D005,V3 model & roadmap,"M0 completion must reflect actual evidence, not rewritten criteria.",12_GATE_BASED_ROADMAP...:M0,"Generator rewrites human/PR criteria and marks M0 complete, while live controller proof is simulation-only.",DEFECT,CRITICAL,"Define V3.1-ZH M0 criteria first, then recompute from independent evidence; do not rewrite requirements during ledger generation."
D006,V3 model & roadmap,"M1 contains product, market, competitor, and trust lanes.",12_GATE_BASED_ROADMAP...,All four lanes appear.,PROVEN,INFO,None.
D007,V3 model & roadmap,External waits are non-blocking to unrelated lanes.,FACTORY loop design,Scheduler models lane isolation; live proof absent.,PARTIAL,HIGH,Add integration test and live canary.
D008,V3 model & roadmap,Completion proposals cannot mutate authoritative roadmap directly.,V3 completion doctrine,"Proposal types exist, but V3 controller does not run completion evaluation/acceptance flow.",PARTIAL,HIGH,"Integrate proposal generation, deterministic validation, machine-authority acceptance, and bounded expansion."
D009,V3 model & roadmap,Milestone completion is evaluated from evidence.,Milestone model,evaluate_v3_milestone_completion exists but is not invoked by controller.,DEFECT,CRITICAL,Invoke it at every idle/no-ready transition and after work-item completion.
D010,V3 model & roadmap,Milestone advancement occurs automatically when gates pass.,Zero-operator amendment,No advance_milestone runtime path was found.,DEFECT,CRITICAL,"Implement atomic transition, event, source digest, next milestone activation, and rollback."
D011,V3 model & roadmap,Roadmap expansion is finite and cannot be silently accepted.,V3 bounded completion,Finite config exists; no complete runtime expansion flow.,PARTIAL,HIGH,Implement one bounded proposal round and machine-authority acceptance/rejection.
D012,V3 model & roadmap,No zero value means unlimited.,README_FIRST.md:43; V3 finite limits,V3 config uses explicit finite limits.,PROVEN,INFO,Add schema tests rejecting zero/negative/unbounded sentinel values.
D013,V3 model & roadmap,Work items bind source/context/candidate/evidence.,V3 schema,"Typed fields exist, but controller packets omit declared outputs and genericize reports.",PARTIAL,HIGH,"Populate source groups, output contracts, evidence requirements, and candidate digest in every packet."
D014,V3 model & roadmap,Static roadmap status cannot substitute for runtime state.,Factory observability requirement,Runtime status reads roadmap while queue/status commands use another root; stale reporting is possible.,DEFECT,HIGH,Create one authoritative runtime state store and derive dashboards from it.
E001,Scheduler & recovery,Lane-aware scheduling with per-lane WIP limits.,FACTORY_LOOP_REDESIGN_SPEC.md,Scheduler config and models exist.,PROVEN,INFO,Prove under live concurrent read-only/mutating runs.
E002,Scheduler & recovery,At most one mutating session and one read-only session initially.,V3 recommended defaults,Config sets one of each.,PROVEN,INFO,"Enforce with durable leases, not only config validation."
E003,Scheduler & recovery,Task lease is renewed during long execution.,Durable queue requirement,Lease defaults are shorter than possible stage execution and controller does not renew them.,DEFECT,CRITICAL,Add heartbeat/lease-renewal coroutine and ownership token; abort if renewal fails.
E004,Scheduler & recovery,Expired work resumes from durable candidate/session state rather than restarting ambiguously.,Crash recovery requirement,Expired queue entries are requeued/blocked; Claude session resume is not real and durable session state is incomplete.,DEFECT,CRITICAL,Persist backend-neutral SessionRef and resume token; recover candidate worktree/checkpoint exactly.
E005,Scheduler & recovery,Quota limits create QUOTA_WAIT and automatic resume.,Existing good V2 behavior; V3 requirement,"ClaudeBackend catches broad exceptions into route refusal, so quota/auth can become technical block.",DEFECT,CRITICAL,"Propagate typed quota/auth dispositions to scheduler, persist resume_at, and retry after reset."
E006,Scheduler & recovery,Authentication expiry creates AUTH_EXPIRED wait and automatic recheck.,V3 finite recovery,Not wired through V3 backend/controller.,DEFECT,HIGH,Add typed auth wait and credential refresh without exposing token.
E007,Scheduler & recovery,Finite candidate repair cycles are actually executed.,00_EXECUTIVE...:310-325,"Config counters exist, but controller decrements/blocks without a real repair loop.",DEFECT,CRITICAL,"Implement repair sessions, candidate preservation, exact findings, and rerun independent checks."
E008,Scheduler & recovery,"At most two re-specifications, then terminal disposition.",00_EXECUTIVE...:310-317,No complete V3 re-specification flow was found.,DEFECT,HIGH,Implement bounded packet recompile with requirement digest and terminal NARROW/DEFER/REJECT/MACHINE_REVIEW.
E009,Scheduler & recovery,Repeated identical findings trigger no-progress handling.,V3 finite loop,No live finding fingerprint path in V3 controller.,DEFECT,HIGH,Hash normalized finding+candidate and stop after configured repeat threshold.
E010,Scheduler & recovery,Factory self-repair is finite and does not rewrite product truth.,README_FIRST.md:43,Finite supervisor policy exists; V3 controller self-repair integration is incomplete.,PARTIAL,HIGH,"Route only controller defects to one bounded repair, with independent gate and no requirement changes."
E011,Scheduler & recovery,Restart policy uses finite exponential backoff and HARD_STUCK.,CODEX prompt:946-959,Supervisor/startup was redesigned with finite restart intent; live proof absent.,PARTIAL,HIGH,Run kill-loop test and verify exact backoff/HARD_STUCK persistence.
E012,Scheduler & recovery,Single-instance lock governs all launcher paths.,Startup requirement,"Legacy and V3 paths contain locks, but end-to-end current launcher proof is absent.",PARTIAL,MEDIUM,Test Windows scheduled task plus manual duplicate launch against same lock.
E013,Scheduler & recovery,Pause/stop files are honored.,Factory controls,Execution state reports STOP/PAUSE and controller stopped.,PROVEN,INFO,"Keep, but distinguish disabled config from stop files."
E014,Scheduler & recovery,autonomy.enabled must be authoritative.,Configuration contract,V3 CLI/controller validation does not clearly enforce enabled:false before start.,DEFECT,HIGH,Refuse run when disabled unless an explicit one-shot simulation flag is used.
E015,Scheduler & recovery,Runtime root may live outside repository safely.,Portable runtime requirement,relative_to(repo_root) can fail for decision artifacts outside repo; some paths remain repo-hardcoded.,DEFECT,HIGH,Use URI/absolute runtime references and a safe display helper; route all state/worktrees/artifacts through runtime root.
E016,Scheduler & recovery,Queue CLI/status and controller use the same queue root.,Observability requirement,Controller uses factory/state/v3-queue or runtime root; CLI queue-status references factory/queue/v3.,DEFECT,HIGH,Centralize path resolution in one config object and regression-test every command.
E017,Scheduler & recovery,Interrupted mutating candidates are salvaged automatically.,Crash recovery,Salvage helpers exist but automated supervisor/controller integration is not proven.,PARTIAL,HIGH,Add crash-at-each-phase tests and automatic candidate transplant/quarantine behavior.
E018,Scheduler & recovery,Malformed active state is blocking and visible.,CODEX prompt:860-866,Checkpoint quarantine is implemented.,PROVEN,INFO,Expose quarantined state in status and alerts.
F001,Backend & execution,EngineeringAgentBackend is backend-neutral.,Previous chat and V3 architecture,Protocol and Claude backend exist.,PROVEN,INFO,Keep factory state free of Claude SDK objects.
F002,Backend & execution,"Claude is first backend, not durable state model.",V3 architecture,"Protocol exists, but Claude session refs are in-memory and resume is unimplemented.",PARTIAL,HIGH,Persist neutral session references and implement actual resume semantics.
F003,Backend & execution,Backend capability report is truthful.,Backend contract,Claude backend reports resume=True while resume route returns refusal.,DEFECT,CRITICAL,"Report resume=False until implemented, then add crash/restart tests before enabling."
F004,Backend & execution,Mutating roles receive Write/Edit only when authorized by work item.,Role execution contract,V3 controller grants mutation tools only to role name builder; research/spec/factory repair cannot write even when owner.,DEFECT,CRITICAL,"Derive tools from mutability and allowed paths, not role string."
F005,Backend & execution,Read-only roles cannot mutate.,Security contract,Sandbox/path policy exists and read-only roles have no Write/Edit.,PROVEN,INFO,Keep post-run diff validation.
F006,Backend & execution,Role-specific network policy supports current research without broad network.,Research/current facts,Controller sets network DENY for every task and Claude backend refuses non-DENY.,DEFECT,CRITICAL,Implement allowlisted HTTPS source adapters for research/market/competitor lanes; keep product/trust default deny.
F007,Backend & execution,Finite wall-clock timeout is enforced.,CODEX prompt:874,"ExecutionRequest has a field, but backend runner does not enforce an overall wall-clock timeout.",DEFECT,CRITICAL,Wrap stage query in cancellable timeout and persist typed TIMEOUT disposition.
F008,Backend & execution,Bash allowlist is enforced.,CODEX prompt:874,Bash allowlist exists in request model but is not enforced by Claude runner.,DEFECT,CRITICAL,Gate commands at hook/controller boundary and reject undeclared executable/arguments.
F009,Backend & execution,Transcripts are redacted and retained by policy.,CODEX prompt:874,Raw SDK messages/transcripts remain possible; retention/redaction policy is incomplete.,PARTIAL,HIGH,"Store structured event summaries, redact prompt/source/private payloads, and enforce retention expiry."
F010,Backend & execution,Task packets name required outputs.,Planner contract,V3 controller creates packets with outputs=[].,DEFECT,CRITICAL,Generate stable output IDs/paths/schemas and fail if required outputs are missing.
F011,Backend & execution,Agent reports conform to a strict V3 schema.,V3 result schemas,Controller requests generic {type: object}; findings and evidence can disappear.,DEFECT,CRITICAL,"Use versioned AgentExecutionReport with verdict, findings, owner, evidence, changed files, commands, limits, next action."
F012,Backend & execution,Candidate manifests preserve findings and external evidence.,Candidate-bound evidence,Controller writes empty findings/external_evidence arrays.,DEFECT,CRITICAL,Fan in validated role reports and external receipts; never drop non-pass evidence.
F013,Backend & execution,Handoffs are backend-neutral and durable.,V3 architecture,"Neutral envelope exists in parts, but live Claude resume/handoff execution is not proven.",PARTIAL,HIGH,Persist schema-versioned handoffs independent of transcript/session implementation.
F014,Backend & execution,Source path references in packets exist.,Context contract,Controller hard-codes CODEX_MASTER_MIGRATION_PROMPT.md inside active V3 source directory where it is absent.,DEFECT,CRITICAL,Use manifest-resolved source IDs; startup must reject any missing source before claiming a task.
F015,Backend & execution,Market lane can write account/interview/evidence artifacts.,M1 market tasks,Lane path policy excludes docs/market and relevant evidence paths.,DEFECT,CRITICAL,Create lane-specific writable roots and task-specific output paths.
F016,Backend & execution,Competitor lane can write capability/source registers.,M1 competitor tasks,Lane path policy excludes required source/capability matrix outputs.,DEFECT,CRITICAL,Authorize exact research output roots; protect normative docs from direct mutation.
F017,Backend & execution,Trust lane can write test/evidence artifacts but not authority.,M1 trust tasks,Generic path policy partially covers tests but lacks task-specific output contracts.,PARTIAL,HIGH,Declare trust evidence paths and external verifier ownership.
F018,Backend & execution,Context routing is lane/task specific.,CONTEXT_INDEX V3 groups,Controller maps market/competitor too narrowly and omits current_facts/native_baseline/market_evidence groups.,DEFECT,CRITICAL,Add deterministic lane+task context selectors and tests preventing advisory/acquisition leakage.
F019,Backend & execution,Current-fact freshness receipts are supplied.,Source freshness policy,"Context builder requires receipts, but controller supplies none.",DEFECT,HIGH,Implement a source-retrieval service that records source URL/version/time/hash/control and passes receipt IDs.
F020,Backend & execution,Career/acquisition context is excluded from routine tasks.,README_FIRST.md:101-102,V3 context index separates advisory groups; controller generally does not inject them.,PROVEN,INFO,Add negative context tests across all roles.
G001,"Trust, value & release",Explicit UNKNOWN and non-pass states remain distinct.,README_FIRST.md:76; trust spec,Product/factory enums retain explicit non-pass states.,PROVEN,INFO,Continue status-laundering negative tests.
G002,"Trust, value & release",Observed boundary remains distinct from causal mechanism.,README_FIRST.md:77,V3 trust docs/models preserve distinction; full runtime analyzer not yet built.,PARTIAL,MEDIUM,Maintain in first incident pack and independent oracle tests.
G003,"Trust, value & release",Reduction faithfulness requires independent oracle.,00_EXECUTIVE...:285-292,No full reduction engine in current bounded slice; machine-only oracle architecture not implemented.,DEFERRED_BY_SCOPE,INFO,Do not promote reduction pack until independent verifier exists.
G004,"Trust, value & release",Recovery Assurance requires independent oracle.,00_EXECUTIVE...:285-292,Not implemented in preflight slice.,DEFERRED_BY_SCOPE,INFO,Keep out of current completion claim.
G005,"Trust, value & release",Machine policy approval is evaluated before release.,Zero-human amendment,evaluate_machine_policy_gate exists but controller does not call it.,DEFECT,CRITICAL,Make signed machine receipt a mandatory pre-release gate for all standard/integration/trust work.
G006,"Trust, value & release",Machine policy verifier is external and immutable to candidate agents.,Compensating control for removed human authority,Current receipt is generated/validated in repository code and lacks an external signing root.,DEFECT,CRITICAL,Move verifier and private oracle out of repository/agent access; root-own it and sign receipts.
G007,"Trust, value & release","Receipt is scope-bound, expiring, attributable, and revocable.",Trust authority semantics,Current machine receipt lacks sufficient issuer/scope/expiry/revocation semantics.,DEFECT,CRITICAL,"Add policy_id/version, issuer key ID, allowed claims, work item, risk, candidate, expiry, nonce, revocation status, oracle identities."
G008,"Trust, value & release","External evidence receipts are outside repo, signed, and not AI-writable.",V3 external truth,ExternalEvidenceVerifier implements root ownership/non-writable and Ed25519 checks.,PROVEN,INFO,Keep separate from machine technical approval.
G009,"Trust, value & release",Value/native disposition is applied to work-item maturity.,V3 value policy,apply_v3_value_decision exists but no controller call was found.,DEFECT,CRITICAL,Run value evaluator after technical pass and before maturity/release transition.
G010,"Trust, value & release",Complete-substitute benchmark is a required promotion gate.,README_FIRST.md:45-46,No integrated NativeSubstituteBenchmark was found.,DEFECT,CRITICAL,Create benchmark schema/executor and require evidence for native-advantage state.
G011,"Trust, value & release",Exact-SHA candidate and CI binding.,README_FIRST.md:83-85,Candidate SHA and exact-SHA workflow checks exist.,PROVEN,INFO,Ensure pre-merge rather than post-push certification.
G012,"Trust, value & release",Release does not put an unverified candidate on main.,README_FIRST.md:100; original PR flow,Main-only publisher pushes then observes checks and can revert later.,CONTRADICTS_BUNDLE,CRITICAL,Use automated PR + required checks + merge queue/auto-merge; zero human involvement does not require direct-main push.
G013,"Trust, value & release",Server-side branch protection/required checks enforce release policy.,GitHub release safety,Branch protection is disabled and required contexts are empty.,DEFECT,CRITICAL,"Enable branch protection/ruleset, required workflows, no force/deletion, and merge queue or equivalent."
G014,"Trust, value & release",Private gate is mandatory where risk requires it.,README_FIRST.md:86,Private-gate architecture exists; mandatory exact-SHA execution for current V3 release was not proven.,NOT_PROVEN,CRITICAL,Fail closed when required private runner/receipt is absent; test with hidden mutations.
G015,"Trust, value & release",Separate factory/source/security/product CI.,CODEX prompt:918-944,Separate workflows exist and exact-SHA CPU/source/security/product checks pass.,PROVEN,INFO,Make them required pre-merge checks.
G016,"Trust, value & release",GPU validation is separate and truthful.,CODEX prompt:930,gpu-validation workflow exists but has no run at audited SHA.,NOT_PROVEN,MEDIUM,Do not elevate GPU maturity; require signed exact-SHA runner evidence when available.
G017,"Trust, value & release",Packaging/install-to-first-value CI passes.,Product completion definition,Packaging/install workflow passes at current SHA.,PROVEN,INFO,Keep as required pre-merge check.
G018,"Trust, value & release",Green CI cannot certify policy that rewrites the requirements being audited.,Independent oracle principle,Source-integrity/test suite explicitly enforces the zero-human/direct-main deviation.,DEFECT,CRITICAL,Separate conformance tests from policy implementation; test against immutable V3.1-ZH manifest and external verifier.
H001,Live autonomy & operations,Controller is enabled and running only after migration gates pass.,Startup/migration doctrine,"Execution state says controller stopped, STOP/PAUSE present, Windows task disabled.",NOT_PROVEN,CRITICAL,Do not start until P0 defects are fixed; then run observation/canary and enable via signed activation receipt.
H002,Live autonomy & operations,A real Claude-backed work item completes unattended.,Zero-intervention goal,Only FakeBackend/disposable simulations were used for key V3 controller proof.,NOT_PROVEN,CRITICAL,"Run a harmless mechanical canary with real Claude, exact artifacts, restart, and automatic next selection."
H003,Live autonomy & operations,A live controller survives process kill and resumes the same work item.,Crash recovery,Simulation evidence exists; live real-backend proof absent.,NOT_PROVEN,CRITICAL,"Kill during planning, execution, gate, publication, and verify idempotent recovery each time."
H004,Live autonomy & operations,A quota event pauses and resumes without human action.,Quota-aware loop,V3 backend currently collapses quota/auth to route refusal.,DEFECT,CRITICAL,Implement typed pause/resume and run injected plus real-reset canaries.
H005,Live autonomy & operations,A failed CI release is contained before main.,Release safety,Current direct-main design relies on post-push revert/quarantine.,DEFECT,CRITICAL,Move to pre-merge required checks and test a deliberately failing candidate.
H006,Live autonomy & operations,A repeated product defect stops finitely rather than loops.,Finite loop doctrine,Config exists; live repeated-finding/repair path is incomplete.,NOT_PROVEN,HIGH,Run deterministic repeated counterexample canary and verify terminal disposition.
